,Clone 22 mRNA; alternative splice variant alpha-1,Liver mRNA for interferon-gamma inducing factor(IGIF),INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,CRYZ Crystallin zeta (quinone reductase),Inducible protein mRNA,FTL Ferritin; light polypeptide,LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,Neuromedin B mRNA,CD33 CD33 antigen (differentiation antigen),CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),FAH Fumarylacetoacetate,LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol),ATP6C Vacuolar H+ ATPase proton channel subunit,CTSD Cathepsin D (lysosomal aspartyl protease),MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR,CDC25A Cell division cycle 25A,DF D component of complement (adipsin),ACADM Acyl-Coenzyme A dehydrogenase; C-4 to C-12 straight chain,CCND3 Cyclin D3,Azurocidin gene,HKR-T1,MB-1 gene,Thrombospondin-p50 gene extracted from Human thrombospondin-1 gene; partial cds,Cytoplasmic dynein light chain 1 (hdlc1) mRNA,Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,Leukotriene C4 synthase (LTC4S) gene,GB DEF = Homeodomain protein HoxA9 mRNA,Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11; band p13 (and joined CDS),IRF2 Interferon regulatory factor 2,PRG1 Proteoglycan 1; secretory granule,CTPS CTP synthetase,PROTEASOME IOTA CHAIN,GTF2E2 General transcription factor TFIIE beta subunit; 34 kD,RETINOBLASTOMA BINDING PROTEIN P48,Zyxin,MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,TOP2B Topoisomerase (DNA) II beta (180kD),Transcriptional activator hSNF2b,MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,C-myb gene extracted from Human (c-myb) gene; complete primary cds; and five complete alternatively spliced cds,Interleukin 8 (IL8) gene,INTERLEUKIN-8 PRECURSOR,MYL1 Myosin light chain (alkali),ITGAX Integrin; alpha X (antigen CD11C (p150); alpha polypeptide),PFC Properdin P factor; complement,Thymopoietin beta mRNA,Epb72 gene exon 1,HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein,Lysozyme gene (EC 3.2.1.17),CD19 CD19 antigen,Transcriptional activator hSNF2b
2,58,129,2972,31,2893,17348,624,336,101,1358,1283,2171,3072,2325,6084,109,-11,-65,814,2700,368,346,895,134,1002,1379,1062,118,1395,104,3460,-114,3424,151,1184,307,539,1920,822,895,1118,2062,5345,435,812,364,82,169,368,2716,-39,624
5,120,110,2453,194,649,9017,686,321,395,-86,732,244,1665,1269,1094,139,114,290,1423,3440,949,476,5354,145,3502,1894,928,119,2000,416,7972,361,5216,632,1370,713,950,3425,1011,1132,3469,138,93,661,282,218,186,334,170,2917,251,626
9,43,9,783,198,2388,9431,273,333,155,336,822,103,1741,2900,3862,94,124,-231,1777,7324,1337,640,423,131,2286,803,966,258,633,210,848,240,7782,362,3593,-223,1974,3303,1297,2223,4081,104,445,978,746,521,385,-8,724,1965,24,1776
10,-18,54,1288,9,913,5092,144,271,167,498,885,252,1188,1855,1974,45,89,-36,426,2676,82,152,585,264,934,1939,1175,409,463,97,1094,96,5204,47,1058,492,664,1329,971,642,1658,-35,522,752,513,-169,146,176,379,1781,-54,756
13,123,103,1405,170,556,6183,281,268,152,-97,548,-42,1482,786,3602,70,192,-104,920,10669,160,545,5075,150,2069,1489,706,87,1220,588,2408,269,7743,495,1624,724,1991,6216,1593,1532,4746,3,116,668,315,4,283,182,191,93,87,1322
14,89,72,742,188,1483,13077,589,-40,145,820,1157,389,892,2337,1204,136,77,-140,606,1912,838,570,155,135,1613,1784,864,188,662,307,2525,159,1756,442,2050,360,1062,3382,1011,1060,1534,9,94,265,1030,493,179,452,283,3576,155,732
15,268,158,1718,217,1505,8506,854,64,81,76,387,-46,1306,2035,2859,135,96,-198,1417,9211,520,571,5767,128,2952,2286,515,99,1990,747,2133,499,7288,522,1995,938,1030,5831,1763,1412,5311,91,29,898,333,114,314,304,172,637,371,1636
17,53,117,1016,254,643,12676,534,363,286,375,1822,-83,2376,4215,2689,184,98,-158,2031,2360,7,352,218,227,2591,1888,1837,-226,2474,822,1150,214,2455,485,3139,926,1731,3714,1778,1848,7155,17,282,374,588,78,335,1263,790,817,-217,917
18,-5,99,1198,32,669,9783,540,333,141,22,738,944,542,711,2753,10,89,-76,954,1316,-144,-65,3339,157,820,2111,883,102,220,515,1232,-10,1273,472,882,390,762,1616,764,795,1178,41,136,516,666,-163,119,203,432,1631,195,453
20,267,22,1969,338,3810,13988,616,117,180,205,860,950,2475,2273,2233,17,120,-58,3192,6464,-862,867,8148,70,5908,2731,817,359,4004,748,180,326,7629,629,4253,827,1158,11241,2191,766,6870,242,119,1487,284,-345,268,1071,478,883,470,2174
